9606_0:000414 | "Homo sapiens | "LCK
9541_0:003d5f | "Macaca fascicularis | "123569215
9541_0:003ddf | "Macaca fascicularis | "ABL1
1737458_0:0030c2 | "Cebus capucinus imitator | "ABL1
9565_0:003a46 | "Theropithecus gelada | "ABL1
9544_0:003c26 | "Macaca mulatta | "ABL1
9606_0:00253e | "Homo sapiens | "ABL1
9606_0:0026b3 | "Homo sapiens | "ABL1
60711_0:004e6c | "Chlorocebus sabaeus | "ABL1
60711_0:004e85 | "Chlorocebus sabaeus | "ABL1
61622_0:0042ff | "Rhinopithecus roxellana | "ABL1
9595_0:0025b8 | "Gorilla gorilla gorilla | "109028161
9595_0:002605 | "Gorilla gorilla gorilla | "ABL1
336983_0:004b77 | "Colobus angolensis palliatus | "ABL1
1868482_0:004542 | "Carlito syrichta | "SRC
379532_0:003c22 | "Propithecus coquereli | "SRC
9447_0:003e11 | "Lemur catta | "123622361
30611_0:00162f | "Otolemur garnettii | "SRC
30608_0:003a9f | "Microcebus murinus | "SRC
37293_0:0039cd | "Aotus nancymaae | "SRC
9515_0:001faf | "Sapajus apella | "SRC
81572_0:004b19 | "Hylobates moloch | "SRC
61853_0:002c59 | "Nomascus leucogenys | "SRC
54180_0:003870 | "Trachypithecus francoisi | "SRC
9545_0:00205c | "Macaca nemestrina | "SRC
61621_0:0046ad | "Rhinopithecus bieti | "SRC
9555_0:003abd | "Papio anubis | "SRC
9598_0:004c81 | "Pan troglodytes | "SRC
39432_0:003408 | "Saimiri boliviensis boliviensis | "SRC
9597_0:004d4d | "Pan paniscus | "SRC
591936_0:004570 | "Piliocolobus tephrosceles | "SRC
9483_0:001a5b | "Callithrix jacchus | "SRC
9568_0:000f2c | "Mandrillus leucophaeus | "SRC
9601_0:0049b8 | "Pongo abelii | "SRC
9531_0:0044e9 | "Cercocebus atys | "SRC
9541_0:0029b4 | "Macaca fascicularis | "SRC
1737458_0:000660 | "Cebus capucinus imitator | "SRC
9565_0:0028fb | "Theropithecus gelada | "SRC
9544_0:002a5b | "Macaca mulatta | "SRC
9606_0:00493f | "Homo sapiens | "SRC
60711_0:002f68 | "Chlorocebus sabaeus | "SRC
61622_0:0036d8 | "Rhinopithecus roxellana | "SRC
61622_0:005267 | "Rhinopithecus roxellana | "LOC115895854
336983_0:0046da | "Colobus angolensis palliatus | "SRC
